1 31
2 59
3 59
4 60
5 59
6 60
7 60
8 59
9 60
10 60
11 59
12 60
1 0
2 0
3 60
4 60
5 60
6 60
7 60
8 60
9 60
10 59
11 60
12 60
13 60
14 60
15 60
16 60
17 60
18 60
19 60
20 60
21 60
22 60
23 60
24 60
25 60
26 61
27 61
28 60
29 60
30 60
31 60
32 60
33 59
34 60
35 60
36 60
37 60
38 60
39 60
40 60
41 60
42 60
43 60
44 60
45 60
46 60
47 59
48 60
49 60
50 60
1 42
2 42
3 60
4 60
5 58
6 60
7 59
8 59
9 60
10 60
11 60
12 60
13 60
14 60
15 60
16 59
17 59
18 59
19 59
20 59
21 59
22 60
23 60
24 60
25 60
26 60
27 60
28 60
29 60
30 60
31 60
32 60
33 60
34 60
35 60
36 60
37 60
38 60
39 60
40 60
41 60
42 60
43 60
44 60
45 60
46 60
47 60
48 60
49 56
50 56
51 56
52 56
53 56
54 56
55 60
56 60
57 60
58 60
59 60
60 60
61 60
62 60
63 60
64 59
65 59
66 59
67 59
68 59
69 59
70 58
71 58
72 58
73 58
74 59
75 59
76 59
77 59
78 59
79 59
80 60
81 60
82 60
83 60
84 58
85 58
86 58
87 58
88 60
89 60
90 60
91 60
92 59
93 59
94 59
95 59
96 59
97 59
98 60
99 60
100 60
1 0
2 0
3 0
4 45
5 45
6 45
7 45
8 45
9 45
10 45
11 60
12 60
13 60
14 60
15 60
16 60
17 60
18 60
19 60
20 60
21 60
22 60
23 59
24 59
25 59
26 59
27 59
28 60
29 60
30 60
31 60
32 60
33 60
34 60
35 60
36 60
37 60
38 60
39 60
40 60
41 59
42 59
43 59
44 59
45 59
46 59
47 59
48 60
49 60
50 60
51 60
52 60
53 60
54 60
55 60
56 60
57 60
58 60
59 60
60 60
61 60
62 60
63 60
64 60
65 60
66 60
67 60
68 60
69 60
70 60
71 60
72 60
73 60
74 60
75 60
76 60
77 60
78 60
79 60
80 59
81 59
82 59
83 59
1 0
2 0
3 44
4 44
5 44
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 44
25 44
26 44
27 44
28 44
29 44
30 44
31 44
32 44
33 44
34 44
35 44
36 44
37 44
38 44
39 44
40 44
41 44
42 44
43 44
44 60
45 60
46 60
47 60
48 60
49 60
50 60
1 0
2 0
3 0
4 41
5 41
6 41
7 41
8 41
9 41
10 41
11 41
12 41
13 41
14 41
15 41
16 41
17 41
18 41
19 41
20 58
21 58
22 58
23 58
1 60
2 60
3 60
4 60
5 42
1 42
1 42
2 42
3 42
4 42
5 42
6 42
7 60
8 60
9 60
10 60
11 60
1 0
2 0
3 0
4 42
5 42
6 42
7 42
8 42
