1 29
2 60
3 60
4 60
5 60
6 60
7 60
8 55
9 60
10 59
11 59
12 60
13 60
14 60
15 60
16 59
17 61
18 59
19 61
20 60
21 59
22 59
23 58
24 59
25 60
26 57
27 59
28 56
29 56
30 54
31 53
32 46
33 56
34 47
35 47
36 50
37 41
38 41
39 53
40 20
41 24
42 16
43 11
44 12
45 3
46 0
47 0
48 0
49 0
50 0
1 35
2 60
3 60
4 60
5 60
6 60
7 60
8 60
9 59
10 59
11 60
12 60
13 59
14 59
15 60
16 60
17 59
18 59
19 59
20 59
21 61
22 61
23 59
24 59
25 59
26 59
27 59
28 61
29 61
30 59
31 55
32 58
33 58
34 56
35 60
36 56
37 56
38 57
39 59
40 59
41 60
1 51
1 0
1 49
2 59
3 59
4 60
5 60
6 60
1 34
2 34
3 34
4 60
5 60
6 60
7 59
8 59
9 59
10 60
11 60
12 60
13 60
14 60
15 59
1 37
1 60
1 43
1 40
2 40
3 60
4 60
5 60
6 60
7 60
8 60
9 61
10 59
11 59
12 59
13 59
14 59
15 59
16 59
17 59
18 59
19 59
20 59
21 59
1 0
2 42
3 42
4 42
5 61
6 61
7 61
8 61
1 0
2 37
3 37
4 37
5 37
6 59
7 59
8 59
9 59
10 59
11 59
12 59
13 53
14 53
15 53
16 53
17 53
1 0
2 39
3 60
4 60
5 60
6 59
1 0
2 40
3 61
4 61
5 61
6 61
7 59
8 59
9 59
10 59
11 60
12 60
13 60
14 60
15 59
16 59
17 59
18 59
1 0
2 42
3 42
4 60
5 60
6 60
7 60
8 60
9 60
1 0
2 43
1 0
2 60
3 59
1 0
2 42
3 42
4 42
5 60
6 60
7 60
8 60
9 60
10 60
11 59
12 59
13 58
14 58
1 60
2 60
3 60
4 60
5 60
6 59
7 59
8 59
9 60
10 60
11 60
12 60
13 58
14 58
15 58
16 56
17 56
18 56
19 46
20 46
21 60
22 60
23 51
1 0
2 41
3 59
4 60
5 60
6 60
7 60
8 60
9 60
10 60
11 59
12 59
13 59
14 59
15 59
16 59
17 58
18 58
19 58
20 58
21 58
22 56
23 56
24 51
25 51
26 51
27 51
28 51
1 0
2 0
3 42
4 42
5 42
6 42
7 60
8 60
9 60
10 60
11 60
12 60
13 60
14 56
15 56
16 56
17 56
18 56
19 56
20 56
21 34
22 34
23 34
24 34
25 59
26 59
27 44
28 44
29 19
30 19
31 13
1 0
2 42
3 42
4 42
5 42
6 59
7 59
8 59
9 60
10 60
11 60
12 58
13 58
14 50
15 50
16 50
17 38
18 38
19 38
20 30
21 30
22 30
1 60
2 60
3 60
4 58
5 58
6 58
7 58
8 58
9 58
10 58
11 58
12 58
13 58
14 58
15 58
